,fighter,knockdowns,significant_strikes_landed,significant_strikes_attempted,significant_strikes_rate,total_strikes_landed,total_strikes_attempted,takedown_successful,takedown_attempted,takedown_rate,submission_attempt,reversals,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted,round,result,last_round,scheduled_rounds,winner,weight_class,fight_date,id
1,Holly Holm,0,21,50,0.42,31,60,1,3,0.33,0,0,8,33,8,10,5,7,21,50,0,0,0,0,round 1,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),W,Women's Bantamweight Bout,2020-10-03,5728
2,Irene Aldana,0,12,31,0.38,13,32,0,0,0,0,0,3,14,1,4,8,13,12,31,0,0,0,0,round 1,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),L,Women's Bantamweight Bout,2020-10-03,5728
3,Holly Holm,0,23,47,0.48,27,53,1,3,0.33,0,0,10,31,8,11,5,5,21,45,0,0,2,2,round 2,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),W,Women's Bantamweight Bout,2020-10-03,5728
4,Irene Aldana,0,12,32,0.37,17,37,0,0,0,0,0,5,21,2,4,5,7,10,30,2,2,0,0,round 2,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),L,Women's Bantamweight Bout,2020-10-03,5728
5,Holly Holm,0,23,51,0.45,37,67,1,2,0.5,0,0,12,38,10,12,1,1,14,27,0,0,9,24,round 3,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),W,Women's Bantamweight Bout,2020-10-03,5728
6,Irene Aldana,0,9,25,0.36,11,27,0,0,0,0,0,4,19,3,4,2,2,8,24,1,1,0,0,round 3,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),L,Women's Bantamweight Bout,2020-10-03,5728
7,Holly Holm,0,39,58,0.67,39,60,1,3,0.33,0,0,14,28,19,24,6,6,37,56,0,0,2,2,round 4,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),W,Women's Bantamweight Bout,2020-10-03,5728
8,Irene Aldana,0,18,42,0.42,19,43,0,0,0,0,0,13,34,3,6,2,2,17,41,1,1,0,0,round 4,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),L,Women's Bantamweight Bout,2020-10-03,5728
9,Holly Holm,0,48,95,0.5,53,102,1,3,0.33,0,0,37,84,11,11,0,0,47,94,1,1,0,0,round 5,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),W,Women's Bantamweight Bout,2020-10-03,5728
10,Irene Aldana,0,18,55,0.32,32,71,0,0,0,0,0,13,40,3,12,2,3,18,55,0,0,0,0,round 5,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),L,Women's Bantamweight Bout,2020-10-03,5728
11,Yorgan De Castro,0,14,27,0.51,14,27,0,0,0,0,0,3,14,2,3,9,10,14,27,0,0,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Heavyweight Bout,2020-10-03,5729
12,Carlos Felipe,0,23,57,0.4,23,57,0,0,0,0,0,7,35,8,14,8,8,23,57,0,0,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Heavyweight Bout,2020-10-03,5729
13,Yorgan De Castro,0,28,57,0.49,29,58,0,0,0,0,0,15,42,6,8,7,7,28,56,0,1,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Heavyweight Bout,2020-10-03,5729
14,Carlos Felipe,0,27,75,0.36,28,76,0,0,0,0,0,12,55,12,16,3,4,24,71,3,4,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Heavyweight Bout,2020-10-03,5729
15,Yorgan De Castro,0,6,16,0.37,70,89,0,1,0,0,0,6,16,0,0,0,0,6,16,0,0,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Heavyweight Bout,2020-10-03,5729
16,Carlos Felipe,0,28,45,0.62,37,54,0,0,0,0,0,20,37,8,8,0,0,18,33,10,12,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Heavyweight Bout,2020-10-03,5729
17,Germaine de Randamie,0,20,58,0.34,23,61,0,0,0,0,0,18,56,2,2,0,0,20,58,0,0,0,0,round 1,Submission,3,3 Rnd (5-5-5),W,Women's Bantamweight Bout,2020-10-03,5730
18,Julianna Pena,0,8,43,0.18,12,47,1,1,1,0,0,7,39,0,2,1,2,8,43,0,0,0,0,round 1,Submission,3,3 Rnd (5-5-5),L,Women's Bantamweight Bout,2020-10-03,5730
19,Germaine de Randamie,0,6,9,0.66,19,29,0,0,0,1,0,6,9,0,0,0,0,4,6,1,2,1,1,round 2,Submission,3,3 Rnd (5-5-5),W,Women's Bantamweight Bout,2020-10-03,5730
20,Julianna Pena,0,11,23,0.47,30,43,1,2,0.5,0,0,6,17,5,6,0,0,4,9,0,0,7,14,round 2,Submission,3,3 Rnd (5-5-5),L,Women's Bantamweight Bout,2020-10-03,5730
21,Germaine de Randamie,0,11,24,0.45,15,29,0,0,0,1,0,8,21,3,3,0,0,8,20,3,4,0,0,round 3,Submission,3,3 Rnd (5-5-5),W,Women's Bantamweight Bout,2020-10-03,5730
22,Julianna Pena,0,8,25,0.32,16,35,1,3,0.33,0,0,6,23,2,2,0,0,6,23,2,2,0,0,round 3,Submission,3,3 Rnd (5-5-5),L,Women's Bantamweight Bout,2020-10-03,5730
23,Kyler Phillips,0,26,57,0.45,28,59,1,1,1,0,0,16,43,5,8,5,6,12,35,0,0,14,22,round 1,KO/TKO,2,3 Rnd (5-5-5),W,Bantamweight Bout,2020-10-03,5731
24,Cameron Else,0,9,25,0.36,18,38,0,0,0,0,0,4,17,4,6,1,2,8,23,0,0,1,2,round 1,KO/TKO,2,3 Rnd (5-5-5),L,Bantamweight Bout,2020-10-03,5731
25,Kyler Phillips,0,6,21,0.28,6,21,1,1,1,0,0,6,20,0,0,0,1,1,6,0,0,5,15,round 2,KO/TKO,2,3 Rnd (5-5-5),W,Bantamweight Bout,2020-10-03,5731
26,Cameron Else,0,2,5,0.4,2,5,0,0,0,0,0,0,3,2,2,0,0,2,5,0,0,0,0,round 2,KO/TKO,2,3 Rnd (5-5-5),L,Bantamweight Bout,2020-10-03,5731
27,Dequan Townsend,0,11,29,0.37,17,35,0,0,0,0,0,4,19,5,8,2,2,8,26,3,3,0,0,round 1,KO/TKO,2,3 Rnd (5-5-5),L,Middleweight Bout,2020-10-03,5732
28,Dusko Todorovic,0,53,75,0.7,65,89,0,0,0,0,0,36,57,11,12,6,6,36,55,17,20,0,0,round 1,KO/TKO,2,3 Rnd (5-5-5),W,Middleweight Bout,2020-10-03,5732
29,Dequan Townsend,0,2,12,0.16,4,14,0,0,0,0,0,1,9,1,3,0,0,2,12,0,0,0,0,round 2,KO/TKO,2,3 Rnd (5-5-5),L,Middleweight Bout,2020-10-03,5732
30,Dusko Todorovic,0,32,59,0.54,44,78,1,2,0.5,0,0,30,57,0,0,2,2,3,12,0,0,29,47,round 2,KO/TKO,2,3 Rnd (5-5-5),W,Middleweight Bout,2020-10-03,5732
31,Carlos Condit,1,15,38,0.39,15,38,0,0,0,0,0,5,19,4,12,6,7,15,38,0,0,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Welterweight Bout,2020-10-03,5733
32,Court McGee,0,31,63,0.49,31,63,0,0,0,0,0,3,22,11,17,17,24,31,63,0,0,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Welterweight Bout,2020-10-03,5733
33,Carlos Condit,0,30,71,0.42,30,71,0,0,0,0,0,17,54,7,11,6,6,30,71,0,0,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Welterweight Bout,2020-10-03,5733
34,Court McGee,0,26,56,0.46,26,56,0,0,0,0,0,3,19,6,17,17,20,26,56,0,0,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Welterweight Bout,2020-10-03,5733
35,Carlos Condit,0,43,121,0.35,43,121,0,0,0,0,0,28,100,6,11,9,10,42,119,0,0,1,2,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Welterweight Bout,2020-10-03,5733
36,Court McGee,0,27,63,0.42,27,63,0,0,0,0,0,3,32,11,17,13,14,27,63,0,0,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Welterweight Bout,2020-10-03,5733
37,Charles Jourdain,0,7,14,0.5,8,15,0,0,0,1,0,0,4,2,5,5,5,7,14,0,0,0,0,round 1,Decision - Split,3,3 Rnd (5-5-5),D,Featherweight Bout,2020-10-03,5734
38,Josh Culibao,1,10,34,0.29,10,34,0,4,0,0,0,4,17,3,14,3,3,7,30,2,2,1,2,round 1,Decision - Split,3,3 Rnd (5-5-5),D,Featherweight Bout,2020-10-03,5734
39,Charles Jourdain,0,16,43,0.37,23,51,0,0,0,0,0,4,24,5,11,7,8,15,42,0,0,1,1,round 2,Decision - Split,3,3 Rnd (5-5-5),D,Featherweight Bout,2020-10-03,5734
40,Josh Culibao,0,21,55,0.38,21,55,0,1,0,0,0,9,37,12,17,0,1,21,55,0,0,0,0,round 2,Decision - Split,3,3 Rnd (5-5-5),D,Featherweight Bout,2020-10-03,5734
41,Charles Jourdain,0,21,44,0.47,37,60,0,0,0,2,0,13,35,3,3,5,6,12,25,0,0,9,19,round 3,Decision - Split,3,3 Rnd (5-5-5),D,Featherweight Bout,2020-10-03,5734
42,Josh Culibao,0,15,35,0.42,20,41,0,2,0,0,0,6,24,7,9,2,2,12,30,0,0,3,5,round 3,Decision - Split,3,3 Rnd (5-5-5),D,Featherweight Bout,2020-10-03,5734
43,Jordan Williams,0,14,26,0.53,35,49,0,1,0,0,0,11,21,2,4,1,1,7,18,7,8,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Middleweight Bout,2020-10-03,5735
44,Nassourdine Imavov,0,10,17,0.58,12,19,1,5,0.2,2,0,7,14,2,2,1,1,7,14,3,3,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Middleweight Bout,2020-10-03,5735
45,Jordan Williams,0,7,27,0.25,13,37,0,2,0,0,0,6,25,1,2,0,0,7,26,0,1,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Middleweight Bout,2020-10-03,5735
46,Nassourdine Imavov,0,29,45,0.64,38,57,0,2,0,2,0,25,41,3,3,1,1,18,28,3,3,8,14,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Middleweight Bout,2020-10-03,5735
47,Jordan Williams,0,9,45,0.2,14,51,0,0,0,0,0,8,42,1,3,0,0,9,44,0,1,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Middleweight Bout,2020-10-03,5735
48,Nassourdine Imavov,0,29,48,0.6,31,50,0,1,0,0,0,18,35,8,9,3,4,23,41,6,7,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Middleweight Bout,2020-10-03,5735
49,Loma Lookboonmee,0,36,49,0.73,39,52,0,1,0,0,0,17,27,13,16,6,6,12,22,24,27,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Women's Strawweight Bout,2020-10-03,5736
50,Jinh Yu Frey,0,9,21,0.42,10,22,0,2,0,0,0,7,17,2,3,0,1,2,13,7,8,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Women's Strawweight Bout,2020-10-03,5736
51,Loma Lookboonmee,0,29,53,0.54,29,53,0,0,0,0,0,7,19,14,25,8,9,16,33,13,20,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Women's Strawweight Bout,2020-10-03,5736
52,Jinh Yu Frey,0,11,24,0.45,12,26,0,0,0,0,0,8,17,2,4,1,3,7,20,4,4,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Women's Strawweight Bout,2020-10-03,5736
53,Loma Lookboonmee,0,15,35,0.42,17,37,0,0,0,0,0,3,15,8,15,4,5,14,31,1,3,0,1,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Women's Strawweight Bout,2020-10-03,5736
54,Jinh Yu Frey,0,6,16,0.37,17,27,1,2,0.5,0,0,6,15,0,1,0,0,4,14,2,2,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Women's Strawweight Bout,2020-10-03,5736
55,Casey Kenney,0,40,94,0.42,40,94,0,0,0,0,0,21,69,15,19,4,6,40,94,0,0,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Bantamweight Bout,2020-10-03,5737
56,Heili Alateng,0,19,64,0.29,19,64,0,0,0,0,0,9,53,5,6,5,5,19,64,0,0,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Bantamweight Bout,2020-10-03,5737
57,Casey Kenney,0,29,79,0.36,29,79,0,0,0,0,0,11,58,15,18,3,3,29,79,0,0,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Bantamweight Bout,2020-10-03,5737
58,Heili Alateng,0,14,52,0.26,14,52,0,0,0,0,0,9,43,2,4,3,5,14,52,0,0,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Bantamweight Bout,2020-10-03,5737
59,Casey Kenney,0,40,90,0.44,40,90,0,1,0,0,0,25,65,11,21,4,4,40,88,0,2,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Bantamweight Bout,2020-10-03,5737
60,Heili Alateng,0,13,55,0.23,13,55,0,0,0,0,0,8,44,4,10,1,1,13,55,0,0,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Bantamweight Bout,2020-10-03,5737
61,Luigi Vendramini,1,13,23,0.56,14,24,0,1,0,0,0,11,21,1,1,1,1,11,18,0,0,2,5,round 1,KO/TKO,1,3 Rnd (5-5-5),W,Lightweight Bout,2020-10-03,5738
62,Jessin Ayari,0,2,10,0.2,2,10,0,0,0,0,0,1,8,0,1,1,1,2,9,0,1,0,0,round 1,KO/TKO,1,3 Rnd (5-5-5),L,Lightweight Bout,2020-10-03,5738
63,Israel Adesanya,0,22,37,0.59,22,37,0,0,0,0,0,4,17,3,4,15,16,22,37,0,0,0,0,round 1,KO/TKO,2,5 Rnd (5-5-5-5-5),W,UFC Middleweight Title Bout,2020-09-26,5717
64,Paulo Costa,0,7,11,0.63,7,11,0,0,0,0,0,1,4,5,6,1,1,7,11,0,0,0,0,round 1,KO/TKO,2,5 Rnd (5-5-5-5-5),L,UFC Middleweight Title Bout,2020-09-26,5717
65,Israel Adesanya,1,33,47,0.7,33,47,0,0,0,0,0,20,34,2,2,11,11,23,34,2,3,8,10,round 2,KO/TKO,2,5 Rnd (5-5-5-5-5),W,UFC Middleweight Title Bout,2020-09-26,5717
66,Paulo Costa,0,5,15,0.33,5,15,0,0,0,0,0,1,9,2,2,2,4,5,15,0,0,0,0,round 2,KO/TKO,2,5 Rnd (5-5-5-5-5),L,UFC Middleweight Title Bout,2020-09-26,5717
67,Dominick Reyes,0,10,20,0.5,10,20,0,0,0,0,0,3,12,1,1,6,7,10,20,0,0,0,0,round 1,KO/TKO,2,5 Rnd (5-5-5-5-5),L,UFC Light Heavyweight Title Bout,2020-09-26,5718
68,Jan Blachowicz,0,15,36,0.41,15,36,0,0,0,0,0,2,22,5,6,8,8,15,36,0,0,0,0,round 1,KO/TKO,2,5 Rnd (5-5-5-5-5),W,UFC Light Heavyweight Title Bout,2020-09-26,5718
69,Dominick Reyes,0,11,31,0.35,11,31,0,0,0,0,0,6,23,1,4,4,4,11,31,0,0,0,0,round 2,KO/TKO,2,5 Rnd (5-5-5-5-5),L,UFC Light Heavyweight Title Bout,2020-09-26,5718
70,Jan Blachowicz,1,26,53,0.49,26,53,0,0,0,0,0,23,48,1,3,2,2,22,47,1,2,3,4,round 2,KO/TKO,2,5 Rnd (5-5-5-5-5),W,UFC Light Heavyweight Title Bout,2020-09-26,5718
71,Kai Kara-France,1,13,28,0.46,13,29,0,0,0,0,0,6,21,1,1,6,6,12,25,1,3,0,0,round 1,Submission,2,3 Rnd (5-5-5),L,Flyweight Bout,2020-09-26,5719
72,Brandon Royval,2,31,56,0.55,43,70,0,0,0,0,0,23,46,5,6,3,4,26,49,4,6,1,1,round 1,Submission,2,3 Rnd (5-5-5),W,Flyweight Bout,2020-09-26,5719
73,Kai Kara-France,0,9,10,0.9,9,10,0,1,0,0,0,6,7,0,0,3,3,9,10,0,0,0,0,round 2,Submission,2,3 Rnd (5-5-5),L,Flyweight Bout,2020-09-26,5719
74,Brandon Royval,0,8,15,0.53,8,15,0,0,0,1,0,4,10,2,3,2,2,8,15,0,0,0,0,round 2,Submission,2,3 Rnd (5-5-5),W,Flyweight Bout,2020-09-26,5719
75,Ketlen Vieira,0,29,70,0.41,36,80,1,3,0.33,0,0,27,66,2,4,0,0,27,68,2,2,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Women's Bantamweight Bout,2020-09-26,5720
76,Sijara Eubanks,0,26,59,0.44,27,60,0,0,0,0,0,13,39,7,14,6,6,24,56,2,3,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Women's Bantamweight Bout,2020-09-26,5720
77,Ketlen Vieira,0,17,41,0.41,35,63,1,1,1,0,0,16,40,1,1,0,0,17,41,0,0,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Women's Bantamweight Bout,2020-09-26,5720
78,Sijara Eubanks,0,13,36,0.36,14,37,0,0,0,0,0,7,27,4,7,2,2,13,36,0,0,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Women's Bantamweight Bout,2020-09-26,5720
79,Ketlen Vieira,0,22,60,0.36,22,60,0,1,0,0,0,22,59,0,1,0,0,22,60,0,0,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Women's Bantamweight Bout,2020-09-26,5720
80,Sijara Eubanks,0,30,54,0.55,31,55,0,1,0,0,0,14,36,11,13,5,5,28,51,0,0,2,3,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Women's Bantamweight Bout,2020-09-26,5720
81,Hakeem Dawodu,0,13,41,0.31,13,41,0,0,0,0,0,3,24,3,5,7,12,13,41,0,0,0,0,round 1,Decision - Split,3,3 Rnd (5-5-5),W,Featherweight Bout,2020-09-26,5721
82,Zubaira Tukhugov,0,10,29,0.34,10,29,0,0,0,0,0,10,29,0,0,0,0,10,29,0,0,0,0,round 1,Decision - Split,3,3 Rnd (5-5-5),L,Featherweight Bout,2020-09-26,5721
83,Hakeem Dawodu,0,36,58,0.62,37,59,0,0,0,0,0,20,38,8,9,8,11,36,58,0,0,0,0,round 2,Decision - Split,3,3 Rnd (5-5-5),W,Featherweight Bout,2020-09-26,5721
84,Zubaira Tukhugov,0,21,54,0.38,26,59,1,2,0.5,0,0,18,50,3,4,0,0,20,53,0,0,1,1,round 2,Decision - Split,3,3 Rnd (5-5-5),L,Featherweight Bout,2020-09-26,5721
85,Hakeem Dawodu,0,20,37,0.54,20,37,0,0,0,0,0,8,18,3,7,9,12,20,37,0,0,0,0,round 3,Decision - Split,3,3 Rnd (5-5-5),W,Featherweight Bout,2020-09-26,5721
86,Zubaira Tukhugov,0,4,10,0.4,4,10,0,5,0,0,0,3,9,1,1,0,0,4,10,0,0,0,0,round 3,Decision - Split,3,3 Rnd (5-5-5),L,Featherweight Bout,2020-09-26,5721
87,Brad Riddell,0,7,18,0.38,13,24,0,1,0,0,0,4,15,2,2,1,1,7,18,0,0,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Lightweight Bout,2020-09-26,5722
88,Alex Da Silva,0,13,20,0.65,19,30,3,3,1,1,1,6,13,3,3,4,4,10,17,2,2,1,1,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Lightweight Bout,2020-09-26,5722
89,Brad Riddell,0,25,59,0.42,37,71,1,3,0.33,0,0,16,49,6,7,3,3,22,54,3,5,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Lightweight Bout,2020-09-26,5722
90,Alex Da Silva,0,18,43,0.41,22,48,0,3,0,0,0,10,34,4,5,4,4,18,42,0,1,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Lightweight Bout,2020-09-26,5722
91,Brad Riddell,0,35,89,0.39,36,90,0,2,0,0,0,27,78,5,7,3,4,32,86,2,2,1,1,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Lightweight Bout,2020-09-26,5722
92,Alex Da Silva,0,23,49,0.46,29,55,0,3,0,0,0,19,44,3,4,1,1,21,46,2,3,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Lightweight Bout,2020-09-26,5722
93,Diego Sanchez,0,11,35,0.31,11,35,0,1,0,0,0,4,20,4,10,3,5,11,35,0,0,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Welterweight Bout,2020-09-26,5723
94,Jake Matthews,0,22,46,0.47,24,51,1,2,0.5,0,0,19,43,3,3,0,0,16,38,1,1,5,7,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Welterweight Bout,2020-09-26,5723
95,Diego Sanchez,0,12,40,0.3,12,40,0,0,0,0,0,6,32,0,1,6,7,12,40,0,0,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Welterweight Bout,2020-09-26,5723
96,Jake Matthews,0,23,53,0.43,23,53,0,0,0,0,0,23,53,0,0,0,0,23,53,0,0,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Welterweight Bout,2020-09-26,5723
97,Diego Sanchez,0,2,6,0.33,15,20,0,0,0,0,0,2,5,0,1,0,0,0,2,0,0,2,4,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Welterweight Bout,2020-09-26,5723
98,Jake Matthews,1,27,49,0.55,46,70,0,0,0,0,0,27,49,0,0,0,0,3,6,0,0,24,43,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Welterweight Bout,2020-09-26,5723
99,Shane Young,0,4,7,0.57,4,7,0,0,0,0,0,0,0,1,3,3,4,4,7,0,0,0,0,round 1,KO/TKO,1,3 Rnd (5-5-5),L,Featherweight Bout,2020-09-26,5724
100,Ludovit Klein,1,9,13,0.69,9,13,0,0,0,0,0,6,10,3,3,0,0,8,12,0,0,1,1,round 1,KO/TKO,1,3 Rnd (5-5-5),W,Featherweight Bout,2020-09-26,5724
101,William Knight,0,9,15,0.6,12,19,0,1,0,0,0,6,9,1,3,2,3,5,11,4,4,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Light Heavyweight Bout,2020-09-26,5725
102,Aleksa Camur,0,5,10,0.5,23,28,0,2,0,0,0,1,6,4,4,0,0,1,6,4,4,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Light Heavyweight Bout,2020-09-26,5725
103,William Knight,0,16,21,0.76,21,26,2,2,1,1,1,13,16,1,2,2,3,2,6,1,1,13,14,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Light Heavyweight Bout,2020-09-26,5725
104,Aleksa Camur,0,5,11,0.45,24,30,1,2,0.5,0,0,2,5,2,5,1,1,4,10,1,1,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Light Heavyweight Bout,2020-09-26,5725
105,William Knight,0,13,18,0.72,25,32,2,2,1,0,0,10,15,1,1,2,2,3,7,4,4,6,7,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Light Heavyweight Bout,2020-09-26,5725
106,Aleksa Camur,0,7,9,0.77,12,14,0,0,0,0,0,5,7,2,2,0,0,4,6,3,3,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Light Heavyweight Bout,2020-09-26,5725
107,Juan Espino,0,10,17,0.58,21,29,5,7,0.71,1,0,9,14,1,1,0,2,2,7,0,0,8,10,round 1,Submission,1,3 Rnd (5-5-5),W,Heavyweight Bout,2020-09-26,5726
108,Jeff Hughes,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,round 1,Submission,1,3 Rnd (5-5-5),L,Heavyweight Bout,2020-09-26,5726
109,Khadis Ibragimov,0,5,10,0.5,17,22,0,0,0,0,0,5,10,0,0,0,0,4,8,0,0,1,2,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Light Heavyweight Bout,2020-09-26,5727
110,Danilo Marques,0,4,7,0.57,5,8,1,9,0.11,0,0,2,4,1,2,1,1,4,6,0,1,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Light Heavyweight Bout,2020-09-26,5727
111,Khadis Ibragimov,0,2,10,0.2,2,10,0,0,0,0,0,1,9,0,0,1,1,2,10,0,0,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Light Heavyweight Bout,2020-09-26,5727
112,Danilo Marques,0,3,3,1,5,6,1,1,1,0,0,2,2,0,0,1,1,3,3,0,0,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Light Heavyweight Bout,2020-09-26,5727
113,Khadis Ibragimov,0,12,26,0.46,17,33,0,0,0,1,1,10,24,1,1,1,1,6,19,3,3,3,4,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Light Heavyweight Bout,2020-09-26,5727
114,Danilo Marques,0,9,12,0.75,9,12,2,6,0.33,0,0,3,6,5,5,1,1,8,11,0,0,1,1,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Light Heavyweight Bout,2020-09-26,5727
115,Colby Covington,0,13,32,0.4,36,59,1,1,1,0,0,8,25,3,5,2,2,6,24,7,8,0,0,round 1,KO/TKO,5,5 Rnd (5-5-5-5-5),W,Welterweight Bout,2020-09-19,5703
116,Tyron Woodley,0,5,22,0.22,14,31,0,0,0,0,0,1,15,3,6,1,1,4,20,1,2,0,0,round 1,KO/TKO,5,5 Rnd (5-5-5-5-5),L,Welterweight Bout,2020-09-19,5703
117,Colby Covington,0,20,43,0.46,32,55,0,2,0,0,0,11,32,6,8,3,3,16,39,4,4,0,0,round 2,KO/TKO,5,5 Rnd (5-5-5-5-5),W,Welterweight Bout,2020-09-19,5703
118,Tyron Woodley,0,13,26,0.5,24,37,1,1,1,0,0,7,18,4,6,2,2,11,24,2,2,0,0,round 2,KO/TKO,5,5 Rnd (5-5-5-5-5),L,Welterweight Bout,2020-09-19,5703
119,Colby Covington,0,23,31,0.74,51,60,0,1,0,0,0,11,19,10,10,2,2,15,23,8,8,0,0,round 3,KO/TKO,5,5 Rnd (5-5-5-5-5),W,Welterweight Bout,2020-09-19,5703
120,Tyron Woodley,0,12,26,0.46,23,37,0,0,0,0,0,6,20,6,6,0,0,7,21,5,5,0,0,round 3,KO/TKO,5,5 Rnd (5-5-5-5-5),L,Welterweight Bout,2020-09-19,5703
121,Colby Covington,0,18,28,0.64,104,123,1,2,0.5,0,0,17,26,1,2,0,0,2,6,0,0,16,22,round 4,KO/TKO,5,5 Rnd (5-5-5-5-5),W,Welterweight Bout,2020-09-19,5703
122,Tyron Woodley,0,3,4,0.75,5,6,0,0,0,0,0,0,1,2,2,1,1,3,4,0,0,0,0,round 4,KO/TKO,5,5 Rnd (5-5-5-5-5),L,Welterweight Bout,2020-09-19,5703
123,Colby Covington,0,4,9,0.44,9,14,1,2,0.5,0,0,0,4,2,3,2,2,4,9,0,0,0,0,round 5,KO/TKO,5,5 Rnd (5-5-5-5-5),W,Welterweight Bout,2020-09-19,5703
124,Tyron Woodley,0,1,5,0.2,1,5,0,0,0,0,0,0,4,0,0,1,1,1,5,0,0,0,0,round 5,KO/TKO,5,5 Rnd (5-5-5-5-5),L,Welterweight Bout,2020-09-19,5703
125,Donald Cerrone,0,37,66,0.56,37,66,0,2,0,0,0,20,49,13,13,4,4,27,54,10,12,0,0,round 1,Decision - Majority,3,3 Rnd (5-5-5),D,Welterweight Bout,2020-09-19,5704
